index,FX,GrowthPct,IncomePct,ExpensePct,BaseValueUSD,marketValuesUSD,UnrealizedGain,RealizedGain,Invest,Dispose,Financial Income - BC Holding,Bank Fees,Tax
2024,4.0543,0,0,0,40450.87931332166,61662.925782502534,0,0,0,0,0,0,0
2025,4,-1,0,0,41000,61875,-625,0,0,0,0,0,0
2026,4,-1,0,0,41000,61256.25,-618.75,0,0,0,0,0,0
2027,4,-1,0,0,41000,60643.6875,-612.5625,0,0,0,0,0,0
2028,4,-1,0,0,41000,60037.250625,-606.436875,0,0,0,0,0,0
2029,4,-1,0,0,41000,59436.87811875,-600.37250625,0,0,0,0,0,0
2030,4,-1,0,0,41000,58842.5093375625,-594.3687811875,0,0,0,0,0,0
2031,4,-1,0,0,41000,58254.08424418687,-588.425093375625,0,0,0,0,0,0
2032,4,-1,0,0,41000,57671.543401745,-582.5408424418688,0,0,0,0,0,0
2033,4,-1,0,0,41000,57094.82796772755,-576.7154340174501,0,0,0,0,0,0
2034,4,-1,0,0,41000,56523.87968805027,-570.9482796772755,0,0,0,0,0,0
2035,4,-1,0,0,41000,55958.640891169765,-565.2387968805027,0,0,0,0,0,0
2036,4,-1,0,0,41000,55399.05448225807,-559.5864089116976,0,0,0,0,0,0
