index,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
Bank Accounts,0,305876.3363486843,317346.6989617599,328237.2394360994,337453.1311587284,345889.45943769655,354536.695923639,363400.11332172994,372485.1161547733,381797.2440586426,391342.1751601087,401125.7295391114,411153.87277758913,421432.7195970288,431968.5375869546,442767.75102662854,453836.94480229414,465182.8684223514,476812.44013291027,488732.75113623304,500951.0699146387,513474.8466625048,526311.7178290673,539469.510774794,552956.2485441639,566780.1547577679,580949.6586267122,595473.40009238,610360.2350946894,625619.2409720568,641259.7219963581,657291.2150462669,673723.4954224236,690566.5828079842,707830.747378184,725526.5160626386,743664.6789642046,762256.2959383096,781312.7033367674,800845.5209201865,820866.6589431914,841388.325416771,862423.0335521905,883983.6093909955,906083.1996257702,928735.2796164146,951953.6616068252,975752.5031469958,1000146.3157256707,1025149.9736188124,1050778.7229592826,1077048.1910332646
Transfer - Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL Investments,7504378.067730558,8306825.657894737,8618331.62006579,8887654.483192846,9109845.845272668,9337591.991404483,9571031.791189596,9810307.585969336,10055565.27561857,10306954.407509034,10564628.26769676,10828743.974389179,11099462.573748909,11376949.138092633,11661372.866544947,11952907.18820857,12251729.867913784,12558023.11461163,12871973.692476919,13193773.034788841,13523617.360658562,13861707.794675026,14208250.489541901,14563456.751780448,14927543.17057496,15300731.749839332,15683250.043585315,16075331.294674948,16477214.577041822,16889144.941467866,17311373.56500456,17744157.904129677,18187761.85173292,18642455.898026243,19108517.295476902,19586230.227863826,20075885.98356042,20577783.13314943,21092227.711478166,21619533.40426512,22160021.73937175,22714022.282856043,23281872.839927446,23863919.660925634,24460517.652448777,25072030.59376,25698831.358604003,26341302.142569102,26999834.69613333,27674830.563536663,28366701.32762508,29075868.860815708
Fidelity Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Income - UB Dividend,0,407835.115131579,423128.9319490132,437649.6525814659,449937.50821163785,461185.94591692876,472715.59456485196,484533.4844289732,496646.8215396977,509062.99207819015,521789.56688014494,534834.3060521485,548205.1637034522,561910.2927960384,575958.0501159395,590357.001368838,605115.9264030588,620243.8245631353,635749.9201772137,651643.668181644,667934.7598861849,684633.1288833397,701748.9571054231,719292.6810330588,737274.9980588852,755706.8730103573,774599.5448356161,793964.5334565067,813813.6467929193,834158.9879627423,855012.9626618108,876388.2867283559,898297.9938965648,920755.443743979,943774.3298375787,967368.6880835182,991552.9052856062,1016341.7279177462,1041750.2711156899,1067794.0278935821,1094488.8785909219,1121851.1005556947,1149897.3780695873,1178644.8125213273,1208110.9328343603,1238313.7061552193,1269271.5488091002,1301003.3375293277,1333528.420967561,1366866.6314917498,1401038.2972790434,1436064.2547110196
Financial Income - Dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Option Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank Fees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxes US,0,-101958.77878289475,-105782.2329872533,-109412.41314536647,-112484.37705290946,-115296.48647923219,-118178.89864121299,-121133.3711072433,-124161.70538492443,-127265.74801954754,-130447.39172003623,-133708.57651303711,-137051.29092586305,-140477.5731990096,-143989.51252898487,-147589.2503422095,-151278.9816007647,-155060.95614078382,-158937.48004430343,-162910.917045411,-166983.68997154624,-171158.28222083492,-175437.23927635577,-179823.1702582647,-184318.7495147213,-188926.71825258931,-193649.88620890403,-198491.13336412667,-203453.41169822981,-208539.74699068558,-213753.2406654527,-219097.07168208898,-224574.4984741412,-230188.86093599474,-235943.58245939467,-241842.17202087955,-247888.22632140154,-254085.43197943654,-260437.56777892247,-266948.50697339553,-273622.21964773047,-280462.77513892367,-287474.3445173968,-294661.2031303318,-302027.73320859007,-309578.42653880484,-317317.88720227504,-325250.83438233193,-333382.10524189024,-341716.65787293745,-350259.57431976084,-359016.0636777549
